system,algorithm,seed,generation,best_fitness,median_fitness,diversity,elapsed_s
demo_eight_class,DTMC-GA,1,0,4.827138901401907,4.019954330064006,0.5037878787878788,0.011535933999766712
demo_eight_class,DTMC-GA,1,1,4.827138901401907,4.137972480221356,0.32386363636363635,0.02163282500077912
demo_eight_class,DTMC-GA,1,2,4.827138901401907,4.827138901401907,0.03787878787878788,0.03158751199953258
demo_eight_class,DTMC-GA,1,3,4.827138901401907,4.827138901401907,0.041666666666666664,0.04320512800040888
demo_eight_class,DTMC-GA,1,4,4.827138901401907,4.827138901401907,0.08333333333333333,0.05316903899984027
demo_eight_class,DTMC-GA,1,5,4.827138901401907,4.827138901401907,0.020833333333333332,0.06332655100050033
demo_eight_class,DTMC-GA,1,6,4.827138901401907,4.827138901401907,0.08333333333333333,0.07312825900044118
demo_eight_class,DTMC-GA,1,7,4.827138901401907,4.827138901401907,0.020833333333333332,0.08325725800023065
demo_eight_class,DTMC-GA,2,0,4.230150097143356,3.21823554048673,0.509469696969697,0.01091986800020095
demo_eight_class,DTMC-GA,2,1,4.230150097143356,3.838918017408266,0.19696969696969696,0.02085789000011573
demo_eight_class,DTMC-GA,2,2,4.304577352612406,4.230150097143356,0.07954545454545454,0.030689032000736916
demo_eight_class,DTMC-GA,2,3,4.304577352612406,4.230150097143356,0.08143939393939394,0.04058588299994881
demo_eight_class,DTMC-GA,2,4,4.827138901401907,4.304577352612406,0.058712121212121215,0.050428181000825134
demo_eight_class,DTMC-GA,2,5,4.827138901401907,4.827138901401907,0.06818181818181818,0.06048031499994977
demo_eight_class,DTMC-GA,2,6,4.827138901401907,4.827138901401907,0.0,0.07064010100111773
demo_eight_class,DTMC-GA,2,7,4.827138901401907,4.827138901401907,0.0625,0.10852111900021555
demo_eight_class,DTMC-GA,3,0,4.827138901401907,2.5300907211825896,0.5037878787878788,0.011002540999470511
demo_eight_class,DTMC-GA,3,1,4.827138901401907,4.600799061542878,0.4318181818181818,0.02097056899947347
demo_eight_class,DTMC-GA,3,2,4.827138901401907,4.827138901401907,0.18181818181818182,0.030866176999552408
demo_eight_class,DTMC-GA,3,3,4.827138901401907,4.827138901401907,0.0625,0.04049702799966326
demo_eight_class,DTMC-GA,3,4,4.827138901401907,4.827138901401907,0.041666666666666664,0.04996796900013578
demo_eight_class,DTMC-GA,3,5,4.827138901401907,4.827138901401907,0.041666666666666664,0.06003742899883946
demo_eight_class,DTMC-GA,3,6,4.827138901401907,4.827138901401907,0.041666666666666664,0.06969868499982113
demo_eight_class,DTMC-GA,3,7,4.827138901401907,4.827138901401907,0.041666666666666664,0.07944595099979779
demo_eight_class,DTMC-GA,4,0,4.732722671566607,3.838918017408266,0.48295454545454547,0.010795060001328238
demo_eight_class,DTMC-GA,4,1,4.732722671566607,4.331516695351932,0.3787878787878788,0.020765792000020156
demo_eight_class,DTMC-GA,4,2,4.857897105385033,4.600799061542878,0.2196969696969697,0.030675091000375687
demo_eight_class,DTMC-GA,4,3,4.857897105385033,4.732722671566607,0.14962121212121213,0.04165001700130233
