system,algorithm,metric,count,mean,median,sd,ci95,min,max
cyclic_workflow_20,Bunch,speedup,30,2.565696124154124,2.6054148859743336,0.4125249225123857,0.15403933763178446,1.570619338393714,3.224295896052688
cyclic_workflow_20,Bunch,communication_overhead,30,0.12744457349676958,0.13316892605923075,0.021428015330490432,0.00800135242295177,0.0863153920913288,0.1688850666997732
cyclic_workflow_20,Bunch,load_balance,30,0.4890720720952382,0.5225526838698556,0.21752866390335046,0.08122653802230123,0.0,0.9383777631920472
cyclic_workflow_20,Bunch,mq,30,11.613598666666666,11.58934,3.8831843069917666,1.450004850393475,5.52646,20.22034
cyclic_workflow_20,Bunch,algorithm_runtime_s,30,0.09661393696672649,0.0955692610004916,0.006148785153479519,0.0022959941099163477,0.0907852730015292,0.1244803220015455
cyclic_workflow_20,DTMC-GA,speedup,30,2.9936438670356664,3.0118858381279026,0.23124690612485746,0.08634901385334602,2.6649504367520627,3.5477429449880105
cyclic_workflow_20,DTMC-GA,communication_overhead,30,0.20236794897972113,0.19869404222938736,0.01776208920700535,0.006632473111540609,0.1708897499943545,0.2374195830289752
cyclic_workflow_20,DTMC-GA,load_balance,30,0.8214662151495653,0.8233586925135631,0.06931081007493048,0.025881081825654177,0.664874518647737,0.94183483615971
cyclic_workflow_20,DTMC-GA,mq,30,22.87228533333334,23.10407,0.9696231084496386,0.36206321903755967,19.85934,23.84188
cyclic_workflow_20,DTMC-GA,algorithm_runtime_s,30,0.09549513973330853,0.09285995050049675,0.00831383018259498,0.00310443521014568,0.0908249299991439,0.1274998760000016
cyclic_workflow_20,FCA,speedup,30,2.3731352990911336,2.373135299091134,4.516810283266961e-16,1.686604678343975e-16,2.373135299091134,2.373135299091134
cyclic_workflow_20,FCA,communication_overhead,30,0.2426379351595379,0.242637935159538,8.469019281125553e-17,3.162383771894953e-17,0.242637935159538,0.242637935159538
cyclic_workflow_20,FCA,load_balance,30,0.7093823116047162,0.709382311604716,2.2584051416334807e-16,8.433023391719875e-17,0.709382311604716,0.709382311604716
cyclic_workflow_20,FCA,mq,30,23.97249999999999,23.972499999999997,7.226896453227138e-15,2.69856748535036e-15,23.972499999999997,23.972499999999997
cyclic_workflow_20,FCA,algorithm_runtime_s,30,0.001367646733645677,0.00133868100056125,0.00010056526574829057,3.7551687375120846e-05,0.0012722820010822,0.0016930340007093
